label -> error: 0.0047975834	CV error: 0.005320677	epochs: 85000 / 1000000
label -> error: 0.0050495444	CV error: 0.004141314	epochs: 86000 / 1000000
label -> error: 0.0044898824	CV error: 0.0043988535	epochs: 87000 / 1000000
label -> error: 0.0035391743	CV error: 0.0046555772	epochs: 88000 / 1000000
label -> error: 0.0044667986	CV error: 0.0044034515	epochs: 89000 / 1000000
label -> error: 0.0045579835	CV error: 0.004213456	epochs: 90000 / 1000000
label -> error: 0.0040876465	CV error: 0.005008175	epochs: 91000 / 1000000
label -> error: 0.0045206705	CV error: 0.0042702686	epochs: 92000 / 1000000
label -> error: 0.0044413116	CV error: 0.003582705	epochs: 93000 / 1000000
label -> error: 0.0048685726	CV error: 0.0048251105	epochs: 94000 / 1000000
label -> error: 0.0050759977	CV error: 0.004659579	epochs: 95000 / 1000000
label -> error: 0.0043284427	CV error: 0.0043943077	epochs: 96000 / 1000000
label -> error: 0.0048455796	CV error: 0.0039168387	epochs: 97000 / 1000000
label -> error: 0.003832545	CV error: 0.0046682395	epochs: 98000 / 1000000
label -> error: 0.004941097	CV error: 0.004211499	epochs: 99000 / 1000000
label -> error: 0.0036948775	CV error: 0.004459225	epochs: 100000 / 1000000
label -> error: 0.0038086036	CV error: 0.0040451786	epochs: 101000 / 1000000
label -> error: 0.004419319	CV error: 0.0038719783	epochs: 102000 / 1000000
label -> error: 0.004403616	CV error: 0.0037475803	epochs: 103000 / 1000000
label -> error: 0.004033922	CV error: 0.004710658	epochs: 104000 / 1000000
label -> error: 0.0048383046	CV error: 0.0046765436	epochs: 105000 / 1000000
label -> error: 0.0042231106	CV error: 0.004440915	epochs: 106000 / 1000000
label -> error: 0.0040742178	CV error: 0.003715939	epochs: 107000 / 1000000
label -> error: 0.0047993413	CV error: 0.0039970945	epochs: 108000 / 1000000
label -> error: 0.0039299764	CV error: 0.0043987236	epochs: 109000 / 1000000
label -> error: 0.004334139	CV error: 0.003877321	epochs: 110000 / 1000000
label -> error: 0.004449006	CV error: 0.0045120893	epochs: 111000 / 1000000
label -> error: 0.0043814573	CV error: 0.003923436	epochs: 112000 / 1000000
label -> error: 0.0029138457	CV error: 0.0043224916	epochs: 113000 / 1000000
label -> error: 0.0037973414	CV error: 0.0034177506	epochs: 114000 / 1000000
label -> error: 0.003059437	CV error: 0.0037484742	epochs: 115000 / 1000000
label -> error: 0.004134337	CV error: 0.003981743	epochs: 116000 / 1000000
label -> error: 0.0038561663	CV error: 0.0038907274	epochs: 117000 / 1000000
label -> error: 0.0043006577	CV error: 0.0043256935	epochs: 118000 / 1000000
label -> error: 0.0030512286	CV error: 0.0049609947	epochs: 119000 / 1000000
label -> error: 0.004161659	CV error: 0.004595934	epochs: 120000 / 1000000
label -> error: 0.0035287174	CV error: 0.0040029483	epochs: 121000 / 1000000
label -> error: 0.0040492816	CV error: 0.004134576	epochs: 122000 / 1000000
label -> error: 0.0038109804	CV error: 0.0033998578	epochs: 123000 / 1000000
label -> error: 0.004082204	CV error: 0.004720501	epochs: 124000 / 1000000
label -> error: 0.00390248	CV error: 0.0031436156	epochs: 125000 / 1000000
label -> error: 0.00347059	CV error: 0.0043359385	epochs: 126000 / 1000000
label -> error: 0.0039007238	CV error: 0.0045508374	epochs: 127000 / 1000000
label -> error: 0.004446073	CV error: 0.003460767	epochs: 128000 / 1000000
label -> error: 0.0035626504	CV error: 0.0036014467	epochs: 129000 / 1000000
label -> error: 0.0036736235	CV error: 0.004017969	epochs: 130000 / 1000000
label -> error: 0.0046724225	CV error: 0.0032104468	epochs: 131000 / 1000000
label -> error: 0.004489407	CV error: 0.004046229	epochs: 132000 / 1000000
label -> error: 0.0036441789	CV error: 0.004107606	epochs: 133000 / 1000000
label -> error: 0.0040253187	CV error: 0.003558188	epochs: 134000 / 1000000
label -> error: 0.004299883	CV error: 0.004560736	epochs: 135000 / 1000000
label -> error: 0.0034672725	CV error: 0.0037112162	epochs: 136000 / 1000000
label -> error: 0.003936007	CV error: 0.0033329478	epochs: 137000 / 1000000
label -> error: 0.0039215847	CV error: 0.0040337224	epochs: 138000 / 1000000
label -> error: 0.003940075	CV error: 0.0036404463	epochs: 139000 / 1000000
label -> error: 0.0035712929	CV error: 0.0039844755	epochs: 140000 / 1000000
label -> error: 0.0034629093	CV error: 0.0036755202	epochs: 141000 / 1000000
label -> error: 0.0033292747	CV error: 0.002420495	epochs: 142000 / 1000000
label -> error: 0.003331354	CV error: 0.0034961256	epochs: 143000 / 1000000
